Symbol,T(degC),P(bar),gibbs_energy(J/mol),entropy(J/K/mol),volume(J/bar),enthalpy(J/mol),heat_capacity_cp(J/K/mol)
Ag+,25.0,1.0,77096,73.450,NaN,105790,NaN
Ag+,40.0,1.0,75994,73.450,NaN,105790,NaN
Ag(aq),25.0,1.0,36531,33.053,NaN,33700,25.350
Ag(aq),40.0,1.0,36026,34.298,NaN,34080,25.350
H3PO4(aq),25.0,1.0,-1149367,161.910,4.698,-1294120,97.435
H3PO4(aq),40.0,1.0,-1151837,167.644,4.684,-1292366,131.536
(UO2)3(PO4)2w4(cr),25.0,1.0,-6138963,NaN,23.842,NaN,NaN
(UO2)3(PO4)2w4(cr),40.0,1.0,-6145552,NaN,23.842,NaN,NaN
(HgOH)3PO4(s),25.0,1.0,-1393317,NaN,NaN,NaN,NaN
(HgOH)3PO4(s),40.0,1.0,-1398353,NaN,NaN,NaN,NaN
Ca+2,25.0,1.0,-552806,-56.200,-1.844,-543000,-30.938
Ca+2,40.0,1.0,-551952,-57.585,-1.826,-543423,-26.500
CaCO3(aragonite),25.0,1.0,-1128197,89.644,3.415,-1207330,45.740
CaCO3(aragonite),40.0,1.0,-1129565,93.138,3.415,-1206260,90.419
FeOOH(gamma),25.0,1.0,-479881,65.080,2.221,-549200,69.211
FeOOH(gamma),40.0,1.0,-480883,68.520,2.221,-548149,70.941
CO2(g),25.0,1.0,-394373,213.785,2478.971,-393510,37.075
CO2(g),40.0,1.0,-397594,215.622,2603.689,-392949,37.762
Fe4(OH)8Clwn(s),25.0,1.0,-2164608,NaN,18.715,NaN,NaN
Fe4(OH)8Clwn(s),40.0,1.0,-2155487,NaN,18.715,NaN,NaN
